"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"44","ARCHGL","0.976226383024711","1.01428707757792","1.00592965243093","1.0061800404339","0.990279939643046","1.01909674251996","1.03039272785612","1.02806664399376","0.684","0.774","0.838","0.838","0.696","0.396","0.124","0.13","-0.403118826526452","0.293084019348099","0.161937204483999","0.200093595588041","-0.422031054248027","0.848102235349162","1.50781632616621","1.50737194963188","41"
"45","ARCHLU","0.982724141229221","0.993799931895862","0.998103460379735","1.00132748248993","1.00114922786322","1.00163442908728","1.00110505263102","1.00221781833186","0.22","0.46","0.782","0.866","0.834","0.74","0.806","0.552","-1.22497655133982","-0.718758465020815","-0.299444098660817","0.190282678584081","0.198542114817239","0.334828602359701","0.248475459867681","0.612746664753826","908"
"46","ARCHPT","1.09297600015408","1.03308261042921","1.02453062762224","1.01352785828663","1.01758407289695","1.02004520035621","1.01699910566804","1.01649986162189","0.034","0.19","0.214","0.396","0.224","0.118","0.142","0.102","2.29639976205362","1.32761992424908","1.27905956796897","0.849475897292313","1.25206951485388","1.59701934433496","1.50602175218262","1.58105752644448","122"
"47","ARDIIM","1.02694449598641","1.00518779840572","0.992489964525709","0.989095093877312","0.986127328314359","0.985104848985275","0.985716704041991","0.986605954817815","0.062","0.566","0.264","0.056","0.01","0.004","0.002","0.002","1.90059652579133","0.57722472607669","-1.1535305113311","-1.9253127021449","-2.86252464224634","-3.54042312989579","-3.78895521579391","-3.97820057105508","1076"
"48","ARDILA","1.0566794506173","1.0014727340953","0.9993444181661","0.998649886350158","1.00180577315276","1.00102024980917","1.00068312322586","1.00478144256237","0.064","0.898","0.992","0.956","0.892","0.934","0.948","0.528","2.00660241432488","0.0975106353321229","-0.0458507179148502","-0.122579213415664","0.144871498385919","0.0868364964260653","0.0525904557151073","0.59716663706868","221"
"49","ARECA1","1.65533311865436","1.76750757553388","1.89867960529072","1.84813350365255","1.86043219144176","1.78602290023076","1.7461626025905","1.70233142716703","0.046","0.002","0.002","0.002","0.002","0.002","0.002","0.002","2.3301817633612","3.94589447980576","5.70526252710362","6.3558022038947","7.58004664572956","8.23116281143201","9.06415196091574","9.66468363833389","2"
"50","ARTOAL","0.942313731297896","0.980815434671883","1.01944029660252","1.07609845329856","1.06560581407575","1.07530307543527","1.08271325412185","1.07003139092517","0.708","0.888","0.772","0.166","0.158","0.052","0.02","0.012","-0.363905264959119","-0.191951630996308","0.315732917780052","1.43617896034231","1.47037652961022","1.99591766903475","2.46257197427262","2.42947679043019","12"
"51","ARTOCA","0.916001219443108","0.912624338080668","0.947445451659846","0.954182515451038","0.964971663741035","0.977726447650736","0.988473735508709","0.991445015330693","0.048","0.006","0.016","0.014","0.036","0.1","0.308","0.408","-1.91585575303344","-3.09920146640767","-2.46144850949244","-2.59105640348139","-2.30437541355264","-1.66581962384922","-1.01171003786297","-0.864864469893968","107"
"52","ARTOCO","0.949941801770865","1.00766374798133","0.997964022981769","1.00633525209742","1.02177204682941","1.01748336074098","1.01606777622768","1.01170708355625","0.468","0.844","0.958","0.836","0.312","0.358","0.336","0.47","-0.749311097745876","0.158160509009489","-0.0862777142489043","0.250000440779548","1.01616270918296","0.930463478534502","0.955862417271884","0.762498807831188","49"
"53","ARTOFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"54","ARTOLA","0.997035547492493","1.00066468747869","1.00557213388226","1.00630498306498","1.00205350143681","1.00218626819208","1.00491063275474","1.0062943203364","0.922","0.886","0.594","0.492","0.77","0.74","0.446","0.244","-0.0688590089159565","0.0998339899533354","0.521732999885199","0.697711797098802","0.277392991251125","0.324897895721616","0.792947268727434","1.13894560413374","393"
"55","ARTOSE","0.82513265249284","0.889349675501048","0.930208743471024","0.962475645139973","0.976535527539531","0.984075823498858","0.994721708830516","1.00243638397694","0.002","0.002","0.002","0.004","0.016","0.052","0.496","0.71","-6.03946305562286","-5.94259796687512","-4.97269398959549","-3.30161790136718","-2.37801442507266","-1.88069620727306","-0.702422558253528","0.372814788233043","288"
"56","ARYTLI","1.15822195226634","1.19283305287662","1.13748819817488","1.11491263740814","1.10864204973191","1.09025069224616","1.08877880245867","1.08600046338477","0.08","0.002","0.002","0.002","0.002","0.002","0.002","0.002","1.86342149812234","3.5619426673429","3.25358051045148","3.32742446159996","3.80424410564626","3.6923212940158","4.13312633905634","4.44330025396758","30"
"57","ASTRAC","0.736891775335802","0.725949756414733","0.777822886064306","0.804857352774604","0.827736624774596","0.846968580615919","0.863439982279019","0.87802132585162","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-6.38079551286491","-9.69962526128524","-9.44406895499309","-9.62680884235852","-9.7893634089789","-10.1430542448247","-10.3794981048399","-10.5237109599236","135"
"58","ASTRMO","1.07006459581653","0.916927565728218","0.899950049215883","0.914846639156914","0.954843540898684","0.944704077539212","0.945775424613711","0.948995858899685","0.612","0.346","0.146","0.144","0.404","0.234","0.19","0.164","0.504868795925505","-0.966771363212406","-1.44300922655058","-1.43055758352803","-0.869182695547256","-1.17583794727714","-1.31027693174134","-1.39773150231013","13"
"59","BAMB01","0.83110650879937","0.873707397905531","0.915510456950125","0.930440688271705","0.932018488000507","0.931867866160877","0.937904028349584","0.940668483261904","0.002","0.002","0.004","0.002","0.002","0.002","0.002","0.002","-2.98828978878735","-3.71054669840696","-3.22795697540048","-3.28632221633428","-3.76799857989262","-4.4363852046056","-4.65663153672474","-5.02559531677784","66"
"60","BAMBFO","0.828334054511253","0.88076143237307","0.900377196175224","0.916214886967347","0.928187148852986","0.939700985607234","0.950023562222244","0.956031614643407","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-8.94003584673136","-9.73382467660118","-10.7443800656124","-10.7627234817782","-10.4704258221377","-10.091592591343","-9.42397957208894","-9.251715393877","571"
"61","BARRAP","1.02714872791666","1.02966886395139","1.02946985725558","1.02257680276777","1.01841201352254","1.01315751217403","1.01188511691912","1.01065566130527","0.074","0.004","0.002","0.002","0.002","0.008","0.006","0.006","1.81233406690493","3.08188401927898","3.93146908045791","3.68328071263167","3.49738112936017","2.89194671441657","2.98640805054867","2.97421279629292","928"
"62","BARRCA","0.948567940987279","1.14071932686548","1.09692035397288","1.10170231255085","1.08343153073593","1.06220899431305","1.05320434790457","1.06058696578948","0.624","0.036","0.108","0.034","0.034","0.074","0.084","0.03","-0.488669956883365","1.93626730758063","1.66066021446708","2.15319169656778","2.0655664839195","1.75374519611755","1.67661053454765","2.13559291353503","15"
"63","BARRNO","0.945247076521693","0.980062049368697","0.985420602397451","0.998667480973965","1.00113595084894","0.999855065962653","0.995156830128151","0.995872576314331","0.078","0.238","0.276","0.904","0.896","0.988","0.558","0.606","-1.8434592737132","-1.14208572758483","-1.07209327462901","-0.099813831972264","0.123461365284174","0.00308827527351319","-0.604944998633876","-0.56289513599508","254"
"64","BARRRA","1.05430431612402","1.03893632115251","1.06248571567194","1.06639824261561","1.09770891145273","1.0919542718227","1.0850947141581","1.08512873036912","0.65","0.606","0.27","0.122","0.01","0.006","0.008","0.002","0.454938313226442","0.506377354319529","1.13674672822967","1.49740991287678","2.6096715203932","2.79003978075951","2.84679742672266","3.13794362781502","15"
"65","BOMBCE","0.894686176370018","0.901187827867279","0.969918483828732","1.04391383855559","1.08905316978966","1.12646028377537","1.1550309089487","1.15755069530421","0.522","0.328","0.688","0.402","0.058","0.004","0.002","0.002","-0.664361622387807","-1.03178854086675","-0.374968994226657","0.82077429875433","1.79412454020047","2.79476539127865","3.74128069284299","4.1578628390226","9"
