,sp,wanang
452,PTERIN,AM
453,RHODSE,AM
454,RHUSTA,AM
455,RHYT01,AM
456,RHYTLO,AM
457,RHYTNO,AM
458,RINOBE,AM
459,RYPAAM,AM
460,RYPACA,AM
461,RYPAJA,AM
462,SANDKO,AM
463,SARCCO,AM
464,SAURPO,AM
465,SAURPU,AM
466,SEME01,AM
467,SEMEAU,AM
468,SEMEFO,AM
469,SEMEMA,AM
470,SEMESC,AM
471,SEMEUN,AM
472,SIPHCE,AM
473,SLOAFO,AM
474,SLOASO,AM
475,SOLAOL,AM
476,SPONDU,AM
477,STEG01,AM
478,STEGHI,AM
479,STEGHO,AM
480,STERAM,AM
481,STERCO,AM
482,STERSC,AM
483,STERSH,AM
484,STRYMI,AM
485,SYZY01,AM
486,SYZY02,AM
487,SYZYAC,AM
488,SYZYAM,AM
489,SYZYFA,AM
490,SYZYFU,AM
491,SYZYGO,AM
492,SYZYGP,AM
493,SYZYHL,AM
494,SYZYHZ,AM
495,SYZYIT,AM
496,SYZYLO,AM
497,SYZYPT,AM
498,SYZYRI,AM
499,SYZYTH,AM
500,TABEAU,AM
501,TABEPA,AM
502,TECODE,AM
503,TEIJAH,AM
504,TEIJBO,AM
505,TERM01,AM
506,TERMAR,AM
507,TERMCO,AM
508,TERMIM,AM
509,TERMKA,AM
510,TERMMA,AM
511,TERMMI,AM
512,TERMSE,AM
513,TERNCH,AM
514,TETRNU,AM
515,TIMORU,AM
516,TIMOTI,AM
517,TOECER,AM
518,TOECLI,AM
519,TOONSU,AM
520,TREMOR,AM
521,TRIC01,AM
522,TRICPL,AM
523,TRISAC,AM
524,TROPPH,AM
525,UNCAAP,AM
526,UVARAP,AM
527,UVARLU,AM
528,UVARRO,AM
529,VERSCA,AM
530,VITECO,AM
531,VITEQU,AM
532,VOACGR,AM
533,WENZDO,AM
534,WRIGLA,AM
535,XANTPA,AM
536,XYLOPA,AM
537,ZANTNI,AM
538,ZANTPL,AM
539,ZIZIAN,AM
540,ZIZIDJ,AM
541,GNETCO,EcM
542,GNETGN,EcM
543,HOPEIR,EcM
544,INTSBI,EcM
545,INTSPA,EcM
546,VATIPA,EcM
547,HELIAF,NM
548,HELILA,NM
549,HELIOR,NM
550,CALYMA,NM-AM
551,COMMPA,NM-AM
552,DEBRLO,NM-AM
553,DENDCO,NM-AM
554,DENDLO,NM-AM
555,DRACAN,NM-AM
556,GRAPPI,NM-AM
557,LEUCAU,NM-AM
558,LEUCCA,NM-AM
559,MUSSCY,NM-AM
560,MUSSFE,NM-AM
561,OREORU,NM-AM
562,OREOTR,NM-AM
563,PANDDA,NM-AM
564,PANDKA,NM-AM
565,POTHRU,NM-AM
566,SALAER,NM-AM
567,SALAKO,NM-AM
568,STREAS,NM-AM
569,TAREBU,NM-AM
570,PISOLO,EcM or NM-AM
571,PISOUM,EcM or NM-AM
572,KOPSFL,uncertain
573,PSEUBE,uncertain
574,PSEUVE,uncertain
575,RANDDE,uncertain
576,RANDDR,uncertain
577,RANDSC,uncertain
578,ARECA1,uncertain
579,CYCLLA,uncertain
580,HAPLLO,uncertain
581,UNKNOW,uncertain
