"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"30","CUNLAN","1.16911738104696","1.07446284042677","1.0383476680785","1.03012162764521","1.08700855756246","1.07581094749634","1.03339165042194","1.0200190498185","0.302","0.38","0.514","0.578","0.052","0.062","0.402","0.604","1.08927109938197","0.908667493371543","0.673369322374734","0.610426241459675","1.89945057781988","1.80149115754959","0.886880678936121","0.583121358743611","9"
"31","DALHUP","0.964968151655877","1.01118015862071","1.01623532743583","1.03083436199145","1.02943283419964","1.02522416497676","1.03063954169293","1.03408067765665","0.218","0.492","0.192","0.004","0.008","0.008","0.002","0.002","-1.19088037546417","0.705669609514972","1.30968685516182","2.80968492274804","2.9853713211254","2.84938302409353","3.71316617554974","4.28769214067799","261"
"32","DAPOLD","1.02350373318205","1.02637926353613","1.02149275132143","1.02111855146184","1.02079761744096","1.02147183011206","1.02221776830973","1.02244271166532","0.006","0.002","0.002","0.002","0.002","0.002","0.002","0.002","2.6980235695189","5.02055320148112","5.51163530390373","6.29509455493193","6.74044505868699","7.55423787137506","8.46507951896383","8.9938038047942","2711"
"33","DENDEN","0.667988641887429","0.839461728014785","1.01222314975127","1.05832714346241","1.09477222978578","1.15527768707126","1.15184040560378","1.12747611786578","0.136","0.288","0.93","0.582","0.252","0.038","0.014","0.034","-1.55789551572734","-1.18361970970543","0.14999019518827","0.661143907464513","1.21644016089144","2.19678852471504","2.38301289391058","2.13471083710229","4"
"34","DIOMOR","0.989287341295463","1.02740142722603","1.03892746072248","1.03367726543938","1.01590272212148","1.00709142161668","0.999702357087145","0.998114439831949","0.884","0.544","0.27","0.268","0.564","0.776","0.982","0.896","-0.171897328232082","0.60400541617125","1.10095454428486","1.12380144386953","0.607595461172447","0.304546439898126","-0.0218023124480469","-0.120765330680286","53"
"35","DIPDUB","1.09785711834227","1.17416711673633","1.14925560882236","1.13285386852036","1.13384651165686","1.12867967800162","1.12385014143928","1.11716128497094","0.06","0.002","0.002","0.002","0.002","0.002","0.002","0.002","1.9014937375881","5.76828055381101","6.62565548507097","6.88378973507623","7.6770776713493","7.80104465544454","7.88738360946014","7.81215984174672","92"
"36","DISMYR","0.948933657310816","0.987651363767896","1.02397990354044","1.04187088971063","1.05651332518461","1.06049698052278","1.06091214257217","1.05930748919887","0.002","0.006","0.002","0.002","0.002","0.002","0.002","0.002","-6.65988945327148","-2.76488226053899","7.24748441341902","14.7866720679082","22.1835082152979","26.0981916904871","28.2221486529621","29.4714442917228","3454"
"37","EHRACU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"38","ELACHI","1.05935196083787","1.08276655746018","1.04118919833956","1.06344670971555","1.03469435962754","1.03846208871532","1.042507960379","1.050390694843","0.568","0.146","0.384","0.108","0.288","0.186","0.142","0.058","0.631042033623626","1.4084286753789","0.898713621324987","1.65084631126867","1.06239152713979","1.29655679488659","1.54732056617994","1.95238660974628","22"
"39","ELADEC","0.971234983124545","1.00781333012355","1.03237694143695","1.03495595278448","1.03291727257806","1.03316069758024","1.03290127892192","1.03162028046916","0.17","0.554","0.002","0.002","0.002","0.002","0.002","0.002","-1.42222826150963","0.615903334683115","3.43478694557234","4.55991100207653","4.91242745450493","5.60486248988216","5.83706577176167","5.96272002598197","567"
