"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"35","CORBOR","0.966592867416368","1.01424117842695","1.02792455859091","1.0299518287446","1.02037503125295","1.01842205543876","1.0182731708057","1.01626854920941","0.074","0.224","0.006","0.002","0.002","0.002","0.002","0.002","-1.77941491285446","1.25900387556079","3.22112498012597","4.16115857997551","3.30685418879774","3.41483189907349","3.90269940870197","3.84860429853996","860"
"36","CORSUL","1.10056846148487","1.08359584829062","1.05052897012546","1.04898602378668","1.03646238678902","1.03075106171961","1.02781342550927","1.02223625414525","0.054","0.004","0.024","0.012","0.02","0.03","0.028","0.042","2.00146219037765","2.89935104230115","2.27687068389519","2.6770329943352","2.37251084901937","2.28074774971059","2.34091620250773","2.09338592430457","190"
"37","CROPOE","0.820464592731058","0.927109454017437","0.949596516372487","0.98299306131747","1.00862821985843","1.02120853525568","1.0259488648638","1.02837237612832","0.004","0.014","0.038","0.414","0.57","0.134","0.054","0.02","-3.31235811551565","-2.39828137390034","-2.06950687976033","-0.843332831951552","0.540077989638341","1.43779379718267","1.94669789013006","2.35671058772122","138"
"38","CSSGUI","1.07215609331976","1.10142583447003","1.09077934890481","1.05956506378311","1.04062266881815","1.03604523981567","1.03462429604844","1.04863575392474","0.248","0.01","0.004","0.018","0.058","0.056","0.026","0.002","1.13942619212055","2.79021341674268","3.0764144537968","2.49829238391219","1.99204934815988","2.00408664859613","2.21656323319238","3.47257289807344","80"
"39","CUPAME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"40","CYRRAC","0.993735819604578","1.0113716097359","1.07291686383181","1.1396056111697","1.09203929907964","1.1004704135602","1.07963013811285","1.04609044868899","0.942","0.846","0.158","0.004","0.01","0.004","0.004","0.058","-0.00587605866750862","0.189092164953513","1.42095375119358","3.38091030711278","2.73790976180971","3.30164138584763","2.95481849286363","1.99050538372062","18"
"41","DACEXC","1.17623823940311","1.06876087939362","1.02325584074861","1.00359441079686","0.997536777980044","0.998890953809304","0.997433907786935","1.00014605402492","0.002","0.002","0.002","0.538","0.672","0.86","0.588","0.922","11.148823903586","7.24082661002438","3.2048705253328","0.630460851005786","-0.416174771302163","-0.189743104171997","-0.549261333453023","0.0965275449528648","1584"
"42","DAPPHI","1.22411859009132","1.33146022305594","1.54800172725708","1.43057004863632","1.35712834597529","1.34521349612224","1.31892899480885","1.27281257535941","0.35","0.008","0.002","0.002","0.002","0.002","0.002","0.002","1.08402570671072","2.72188431309853","5.7757846774682","5.72955575051194","5.61719627987202","6.07286758290569","6.0074302419935","5.22878384260856","5"
"43","DENARB","0.961836519638218","0.966120955960175","0.993621523532478","1.01177400777461","1.01466571014831","1.01445054574837","1.00895979775292","0.998840755439233","0.462","0.272","0.784","0.57","0.414","0.364","0.518","0.942","-0.739908335438904","-1.10191982993695","-0.241478361473263","0.587998036699123","0.845254213949204","0.923757614515476","0.642817825627674","-0.0901022522092747","144"
"44","DITMYR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"45","DRYALB","1.16792998953633","1.31250516203411","1.31842729086657","1.26532186011672","1.30781213026705","1.30144656550674","1.3060867184293","1.24589686769123","0.468","0.042","0.004","0.012","0.004","0.002","0.002","0.002","0.714455295086314","2.12966606456249","2.69224240652246","2.67531291421255","3.51449192593139","3.82730196810703","4.35121802351922","3.91622877244582","6"
"46","DRYGLA","0.914999457536272","1.02293457022435","1.05088737965097","1.05177239057477","1.04923174944477","1.04828651091158","1.04429850435686","1.03685205097472","0.016","0.256","0.008","0.004","0.004","0.002","0.002","0.002","-2.45366539624556","1.11119203378843","3.20796127877892","4.03302215706297","4.44148729903381","4.93162900938489","5.06101159716654","4.75447130476061","308"
"47","EUGDOM","1.00148032100032","1.0387876825006","1.00339385074551","0.949067645391535","0.939173614101448","0.957387594444301","0.966615277316986","0.981308930032452","0.99","0.566","0.95","0.256","0.124","0.222","0.264","0.47","0.0170137012087758","0.591584664583938","0.0898822404603136","-1.15870094104385","-1.60095856000885","-1.29377120936837","-1.12371289509874","-0.695765420339117","26"
"48","EUGSTA","1.0442693206068","1.02794442468887","1.02450307982317","1.02970115046637","1.02533117757194","1.02054145472247","1.01763112666215","1.01530439380811","0.062","0.078","0.026","0.004","0.002","0.002","0.002","0.006","1.83576057241746","1.85384205998454","2.16715931375996","3.25721320982876","3.27470423775744","3.01455357685866","2.9677350850299","2.83245733837487","538"
"49","FAROCC","1.13059939288212","1.03736623928467","1.05215133493932","1.04939866195322","1.03492218360303","1.03398615675173","1.03342726615937","1.04439905323664","0.004","0.13","0.008","0.006","0.024","0.01","0.006","0.002","2.99265135266298","1.52962817753006","2.6284970993104","3.08333985345884","2.59940590532785","2.88102597362621","3.22795941750944","4.76800879307686","176"
"50","FICAME","0.770404960153477","1.04333907231593","1.09468272910543","1.09853307825286","1.1110829349584","1.13561484996662","1.15585370408424","1.14438635169151","0.27","0.734","0.334","0.25","0.164","0.022","0.002","0.002","-1.10029078742631","0.325980252361539","0.97922050557423","1.15424291913742","1.43738683983702","2.13691143156516","2.92583178143518","3.19168503915358","9"
"51","FICCIT","0.880225040503813","0.908274536232447","0.962287298057244","0.98893281620047","1.00397410184256","1.03299143771801","1.03311745860167","1.04643449973548","0.398","0.222","0.532","0.876","0.942","0.366","0.288","0.12","-0.929815494007552","-1.22739333696429","-0.616672541416886","-0.214899554227051","0.10768577389836","0.927505893130777","1.05137312825914","1.54295106740739","23"
"52","FICCRA","1.1633656790377","1.25458449391734","1.15979244367563","1.31969328947104","1.3556481958444","1.29031415345801","1.26462861133311","1.32468825317482","0.566","0.16","0.112","0.002","0.002","0.002","0.002","0.002","0.472971692863384","1.55770914135266","1.57354751983299","3.5355864072846","4.67508442156797","4.32649786146261","4.32887312782554","6.03942934977477","4"
