"","x"
"MEL1CA",19
"MEL1FU",312
"MEL1S1",159
"MEL1TO",256
"MEMEAM",174
"MEMECA",453
"MEMEDI",118
"MEMEEX",171
"MEMELI",245
"MEMEME",443
"MEMEMI",1095
"MEMEO1",212
"MEMEO2",105
"MEMEPA",26
"MEMEPU",94
"MEMEWA",67
"MESUCO",985
"MESUFE",1019
"MESUGR",215
"MESUKU",217
"MESULE",30
"MESURA",420
"METATR",1
"MEZZLE",121
"MIC1CA",622
"MIC2VA",4
"MILILO",6
"MILLAT",1300
"MILLS1",1
"MITRMA",281
"MONOMA",862
"MUSSBE",37
"MYRICI",195
"MYRIM1",161
"MYRIM2",32
"MYRIM3",4
"NAUCOF",520
"NEESSY",47
"NEO1CA",9
"NEOBHE",2189
"NEOLZE",1
"NEOSKI",839
"NEOSNI",355
"NEOSSU",162
"NEOUFO",2
"NEPHCO",810
"NEPHER",136
"NEPHHA",44
"NEPHMA",156
"NEPHOP",100
"NEPHPA",2
"NOTHUM",122
"OCHAAM",964
"ONC1MO",1352
"ONC2HO",98
"ORANSY",9
"ORMOPE",3
"ORMOVE",32
"OSMEMA",10
"PALACL",4
"PALAGU",6
"PALAHE",439
"PALAMA",69
"PALAOB",8
"PALAST",31
"PANDMO",5
"PANDYV",1
"PAR1CO",6
"PAR1EL",56
"PAR1OB",60
"PAR2DE",118
"PAR3BR",40
"PAR4IN",144
"PAR4PA",18
"PAR5XE",12
"PAR6UR",6
"PARKSP",458
"PAROVA",622
"PAVEGR",21
"PAVES1",59
"PAYELU",1012
"PAYEMA",9
"PELLSA",1
"PEN1MO",605
"PEN1VE",1
"PEN2ST",413
"PEN2TR",82
"PERTEU",19
"PHAECR",3
"PHAEOP",1149
"PHOLMA",3
"PHYLEM",5
"PIMEGR",1989
"PIMEMA",30
"PINAMA",10
"PITHSP",2
"PKT",2
"PLA1MA",2
"PLA2GR",21
"PLATLA",4
"PODOMO",14
"POL1CI",58
"POL1CL",24
"POL1GL",128
"POL1HY",11
"POL1JE",145
"POL1LA",88
"POL1OB",110
"POL1RU",486
"POL1SC",254
"POL1ST",187
"POL1SU",175
"POMEPA",466
"POPOPI",616
"POPOTO",102
"PORTAN",690
"POUTMA",41
"PRAILI",43
"PRISGL",17
"PRISS1",53
"PRUNAR",253
"PRUNGR",122
"PRUNST",5
"PSE1SI",99
"PSE2MA",701
"PSYCGR",10
"PSYCRO",2
"PSYD10",15
"PSYDMA",1
"PSYDS1",1
"PSYDS8",155
"PTE1CO",299
"PTE1EC",178
"PTE2TU",51
"PTELLA",19
"PTYCCA",20
"PTYCCO",676
"PYREAC",53
"QUERAR",412
"QUERGE",154
"RADEPI",1
"REINCI",368
"RHODCI",145
"RINOAN",4378
"RINOHO",5
"RINOSC",114
"ROTHMA",77
"RYPAAC",45
"RYPAFA",55
"RYPAKU",130
"SANCO",1
"SANDKO",108
"SANTAP",542
"SANTCO",12
"SANTGR",162
"SANTLA",333
"SANTOB",49
"SANTRU",148
"SANTS1",1
"SANTTO",214
"SAPIBA",26
"SAPIDI",10
"SAPRSC",265
"SAR1GR",134
"SAR1MO",115
"SARADE",411
"SARATH",177
"SCA1SP",1788
"SCA2LI",68
"SCA2MA",406
"SCHOAC",361
"SCLEWA",179
"SCOLSP",140
"SCUTBR",1
"SEMECU",39
"SEMERU",1
