"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"32","CALOBL","1.05648377739521","1.05740458841726","1.03967149201409","1.02145008346802","1.01379234524929","1.007439301591","1.00356800632469","1.00331806534545","0.006","0.002","0.002","0.002","0.014","0.112","0.376","0.366","2.89683444498233","4.70355150213038","4.46779165661138","3.1115353559031","2.43513090171256","1.5407716158527","0.878606352591632","0.932668777626899","559"
"33","CALOCD","1.05106402557272","0.924886151272508","1.01895922473735","0.988245110769189","0.994213765473413","0.973958590171252","1.00077892932233","0.984680112987432","0.874","0.718","0.94","0.892","0.93","0.73","0.972","0.772","0.247719479017701","-0.434677636345077","0.169570332911613","-0.104457705143834","-0.0678697529527888","-0.340255100165917","0.00225576252926809","-0.253893857910869","3"
"34","CALOCU","1.28298359368777","1.09981284759484","1.03767173509506","1.01978687179333","1.02049711906902","1.01683828039438","1.01057257511907","0.998490817574826","0.002","0.036","0.294","0.534","0.45","0.426","0.572","0.882","3.50767147093806","2.08681258212808","1.05589532708767","0.688198561434254","0.810859693230229","0.806178552968522","0.589895977578826","-0.117896824465785","33"
"35","CAMELA","1.06986558840398","1.06626339485774","1.03031656614441","1.03421700489296","1.02538228707266","1.0178838362736","1.01562242324975","1.01559474544104","0.126","0.016","0.144","0.038","0.068","0.11","0.11","0.074","1.50187997735047","2.43548067443308","1.5076983596815","2.09142804936744","1.86404201709533","1.5775699530411","1.60757056535031","1.84173356817481","99"
"36","CANAAS","1.18896472603206","1.07407579086891","1.06405800657258","1.03565400033025","1.02393821807831","1.02156845566687","1.01811206823775","1.01432033361529","0.016","0.118","0.064","0.22","0.31","0.298","0.316","0.384","2.50610853329674","1.66782894244048","1.90878399550286","1.27123446852767","1.02187806366921","1.05728566554963","1.01517588884384","0.869068887215763","41"
"37","CANAEU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"38","CANAGR","0.942856196456153","0.992267528761472","0.967582846874303","0.973008129527647","0.969512849402796","0.985751383137863","0.988365300766445","0.989944140715035","0.408","0.858","0.298","0.268","0.15","0.4","0.456","0.472","-0.857447396821917","-0.182296264476849","-1.07994235095905","-1.10726645044841","-1.45374197909036","-0.802316341373766","-0.749194750253855","-0.730042735764994","52"
"39","CANAHI","0.912626376538527","0.967532814141053","0.998325249191094","1.00412423316972","1.0250492448047","1.03031061121549","1.02941473307386","1.02055234811431","0.18","0.402","0.946","0.858","0.194","0.064","0.028","0.094","-1.41357419538159","-0.872547374563684","-0.0634118894914625","0.208965912907121","1.34730280625037","1.87697738561539","2.08933538590131","1.64433373537395","57"
"40","CAPPCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"41","CARYCM","0.966273053112962","0.993896430985786","0.995012226026359","1.00007319911243","1.00392066990737","1.00567252440205","1.00610503809953","1.00584555680532","0.154","0.7","0.664","0.98","0.604","0.368","0.23","0.202","-1.4757382129777","-0.437508460414867","-0.464584284313188","0.011790771249128","0.535538294438556","0.924043629110523","1.16451743265464","1.25200703194618","472"
