"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"30","ALBIPR","1.02980325752028","0.973862590486501","0.973660324650972","0.985148591031374","0.974958669517961","0.968996462822993","0.964843188752819","0.964724822577009","0.702","0.662","0.582","0.764","0.54","0.386","0.29","0.27","0.354062258619624","-0.454664023551933","-0.564540434751947","-0.377702883806543","-0.668245716750003","-0.875999363803722","-1.06225819383632","-1.13756713246477","34"
"31","ALLOCO","1.00248449885568","0.972288608071755","0.964110469168212","0.961288647988471","0.957577034605116","0.959026463748249","0.958226552024178","0.961214428796248","0.884","0.084","0.012","0.002","0.002","0.002","0.002","0.002","0.122251410587771","-1.65909030235882","-2.53095134449893","-3.04172285771264","-3.61237132471694","-3.7525484025695","-4.06583725966682","-4.00847129924648","383"
"32","ALPHIN","1.63431019662466","1.66990465458595","1.53491698536199","1.37977728133253","1.20444920074909","1.13997868278949","1.10856076488736","1.0892862826491","0.004","0.002","0.002","0.002","0.05","0.148","0.218","0.27","3.52680754341673","5.07094129551026","4.67742251644487","3.69001147307982","2.12630232475503","1.55237547187645","1.27629824725039","1.11600104407037","9"
"33","ALSEAR","0.8474749091841","0.948568228525722","0.969650390940424","0.980097009351462","0.994325174809811","0.998758411575623","1.00332320986278","1.00165702617844","0.004","0.114","0.258","0.396","0.756","0.916","0.884","0.942","-3.15103261650779","-1.56894587016945","-1.15617556529234","-0.857267763094921","-0.29230732360478","-0.0872260618802903","0.165361638557542","0.0829299697181852","95"
"34","ALSTBR","0.842001962708538","0.9930697105585","1.09935483870968","1.03182824721301","0.988241351095421","0.972165858246211","0.960016087408252","1.0111988168962","0.736","1","0.546","0.794","0.984","0.89","0.81","0.908","-0.481789110152732","-0.0406120931136711","0.545050916871908","0.202959961208266","-0.0740682209801194","-0.165279404902536","-0.257476186143622","0.112207447806688","2"
"35","ALSTSC","0.839903456244856","0.906655415078103","0.927602422888622","0.9474929563797","0.953176730069234","0.952602291753552","0.956690702012471","0.964341744520094","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-5.87349593892572","-5.08537392626892","-4.75556498014866","-3.88944994600815","-3.85047699739129","-4.20425861199187","-4.19417681975666","-3.72561065157273","337"
"36","ANTHCH","0.922186318374444","0.925952909420077","0.936935228426131","0.94082069851182","0.948919099720434","0.980175585009226","0.987565227697999","0.991082213579369","0.546","0.322","0.316","0.274","0.308","0.7","0.802","0.868","-0.64956850907737","-0.98735328002482","-1.01089228370423","-1.0483622798617","-0.99023601347709","-0.40276604543605","-0.259138506762953","-0.192036567489335","20"
"37","ANTIAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"38","ANTIOL","0.87122572055419","0.918963492744421","0.912818979965342","0.914513621420004","0.917771172635709","0.930409182125398","0.942169616941717","0.951644939009434","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.004","-3.4343484393469","-3.15459093437245","-3.95631474024259","-4.3608326314057","-4.5243468359276","-4.10321732430738","-3.67060996323992","-3.33515766738512","166"
"39","ANTITO","1.00178653193507","1.00038133123369","1.00035709180679","1.00541284266921","1.00636059066532","1.00419786736122","1.00400792501463","1.00650245241287","0.946","0.974","0.926","0.698","0.628","0.734","0.712","0.544","0.0346738100416173","0.0165869353861375","0.0526414125308868","0.368338841712125","0.471985006629154","0.355632611007737","0.367437555131508","0.605164368780502","215"
